iter	Passed	Remaining
0	60	60284
1	60	30289
2	61	20326
3	61	15304
4	61	12298
5	62	10301
6	62	8861
7	62	7780
8	63	6943
9	63	6279
10	63	5742
11	64	5282
12	64	4892
13	64	4562
14	65	4271
15	65	4017
16	65	3794
17	65	3596
18	66	3419
19	66	3258
20	66	3113
21	67	2979
22	67	2857
23	67	2746
24	67	2644
25	68	2549
26	68	2465
27	68	2387
28	69	2314
29	69	2246
30	69	2180
31	70	2118
32	70	2060
33	70	2007
34	70	1955
35	71	1908
36	71	1864
37	71	1820
38	72	1778
39	72	1740
40	72	1702
41	73	1666
42	73	1633
43	73	1601
44	73	1569
45	74	1540
46	74	1511
47	74	1483
48	75	1459
49	75	1435
50	75	1410
51	76	1387
52	76	1364
53	76	1343
54	77	1324
55	77	1303
56	77	1283
57	77	1265
58	78	1247
59	78	1229
60	78	1212
61	79	1197
62	79	1180
63	79	1165
64	80	1151
65	80	1136
66	80	1123
67	80	1109
68	81	1096
69	81	1083
70	81	1070
71	82	1058
72	82	1046
73	82	1034
74	82	1022
75	83	1011
76	83	1000
77	83	990
78	84	979
79	84	969
80	84	959
81	84	949
82	85	939
83	85	931
84	85	923
85	86	915
86	86	907
87	86	899
88	87	891
89	87	882
90	87	875
91	87	867
92	88	860
93	88	853
94	88	845
95	89	839
96	89	832
97	89	826
98	90	819
99	90	813
100	90	807
101	91	801
102	91	796
103	91	791
104	92	785
105	92	779
106	92	773
107	92	767
108	93	762
109	93	756
110	93	750
111	94	746
112	94	741
113	94	736
114	94	731
115	95	725
116	95	720
117	95	716
118	96	711
119	96	707
120	96	703
121	97	698
122	97	693
123	97	689
124	97	685
125	98	681
126	98	676
127	98	673
128	99	669
129	99	666
130	99	662
131	100	659
132	100	655
133	100	651
134	101	648
135	101	645
136	101	642
137	102	639
138	102	635
139	102	632
140	103	628
141	103	624
142	103	621
143	103	617
144	104	614
145	104	610
146	104	607
147	105	604
148	105	601
149	105	598
150	105	595
151	106	592
152	106	589
153	106	586
154	107	583
155	107	580
156	107	578
157	107	575
158	108	572
159	108	569
160	108	566
161	108	563
162	109	561
163	109	558
164	109	555
165	110	553
166	110	550
167	110	547
168	110	545
169	111	542
170	111	540
171	111	538
172	112	535
173	112	533
174	112	530
175	112	528
176	113	526
177	113	523
178	113	521
179	114	519
180	114	517
181	114	515
182	114	513
183	115	510
184	115	508
185	115	506
186	116	504
187	116	502
188	116	501
189	117	499
190	117	497
191	117	495
192	118	493
193	118	491
194	118	489
195	118	487
196	119	485
197	119	484
198	119	482
199	120	480
200	120	478
201	120	476
202	120	474
203	121	473
204	121	471
205	121	469
206	122	468
207	122	466
208	122	465
209	123	463
210	123	461
211	123	459
212	124	458
213	124	456
214	124	454
215	124	453
216	125	451
217	125	449
218	125	448
219	126	446
220	126	445
221	126	444
222	127	442
223	127	441
224	127	439
225	127	438
226	128	436
227	128	435
228	128	433
229	129	432
230	129	430
231	129	429
232	130	428
233	130	427
234	130	425
235	130	424
236	131	422
237	131	420
238	131	419
239	131	417
240	132	416
241	132	415
242	132	413
243	133	412
244	133	411
245	133	410
246	134	408
247	134	407
248	134	406
249	135	405
250	135	403
251	135	402
252	135	401
253	136	400
254	136	398
255	136	397
256	137	396
257	137	395
258	137	393
259	138	392
260	138	391
261	138	390
262	139	389
263	139	388
264	139	387
265	139	386
266	140	385
267	140	384
268	140	382
269	141	381
270	141	380
271	141	379
272	142	378
273	142	377
274	142	376
275	142	374
276	143	374
277	143	372
278	143	371
279	144	370
280	144	369
281	144	368
282	144	367
283	145	366
284	145	365
285	145	363
286	146	362
287	146	361
288	146	360
289	146	359
290	147	358
291	147	357
292	147	356
293	147	354
294	148	353
295	148	352
296	148	351
297	148	350
298	148	349
299	149	348
300	149	347
301	149	346
302	149	344
303	150	343
304	150	342
305	150	341
306	150	340
307	151	339
308	151	338
309	151	337
310	152	337
311	152	336
312	152	335
313	153	334
314	153	333
315	153	332
316	153	331
317	154	330
318	154	329
319	154	328
320	154	327
321	155	326
322	155	325
323	155	324
324	155	323
325	156	322
326	156	321
327	156	320
328	156	319
329	157	318
330	157	317
331	157	317
332	157	316
333	158	315
334	158	314
335	158	313
336	158	312
337	159	311
338	159	310
339	159	309
340	159	308
341	159	307
342	160	306
343	160	305
344	160	305
345	160	304
346	161	303
347	161	302
348	161	301
349	161	300
350	162	299
351	162	298
352	162	298
353	162	297
354	163	296
355	163	295
356	163	294
357	163	293
358	164	293
359	164	292
360	164	291
361	165	290
362	165	290
363	165	289
364	165	288
365	166	287
366	166	287
367	166	286
368	167	285
369	167	284
370	167	284
371	167	283
372	168	282
373	168	281
374	168	280
375	168	280
376	169	279
377	169	278
378	169	277
379	169	276
380	169	276
381	170	275
382	170	274
383	170	274
384	171	273
385	171	272
386	171	271
387	171	271
388	172	270
389	172	269
390	172	269
391	172	268
392	173	267
393	173	266
394	173	266
395	174	265
396	174	264
397	174	264
398	174	263
399	175	262
400	175	262
401	175	261
402	176	260
403	177	261
404	177	260
405	177	260
406	178	259
407	178	258
408	178	258
409	179	257
410	179	256
411	179	256
412	179	255
413	180	255
414	180	254
415	180	253
416	181	253
417	181	252
418	181	251
419	182	251
420	182	250
421	182	250
422	182	249
423	183	248
424	183	248
425	183	247
426	184	247
427	184	246
428	184	246
429	185	245
430	185	244
431	185	244
432	186	243
433	186	243
434	186	242
435	186	241
436	187	241
437	187	240
438	187	240
439	188	239
440	188	238
441	188	238
442	188	237
443	189	236
444	189	236
445	189	235
446	189	235
447	190	234
448	190	233
449	190	233
450	191	232
451	191	232
452	191	231
453	191	230
454	192	230
455	192	229
456	192	228
457	192	228
458	193	227
459	193	227
460	193	226
461	193	225
462	194	225
463	194	224
464	194	224
465	194	223
466	195	222
467	195	222
468	195	221
469	195	220
470	196	220
471	196	219
472	196	219
473	196	218
474	197	217
475	197	217
476	197	216
477	197	216
478	198	215
479	198	214
480	198	214
481	198	213
482	199	213
483	199	212
484	199	212
485	199	211
486	200	210
487	200	210
488	200	209
489	200	209
490	201	208
